0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	-1.63677e-007	1.63677e-007	0	0	0	0	0	0	0	
0	0	0	0	0	0	-4.08821e-008	-3.43185e-007	3.43185e-007	4.08821e-008	0	0	0	0	0	0	
0	0	0	0	0	-1.02112e-008	-1.4706e-007	-5.22068e-007	5.22068e-007	1.4706e-007	1.02112e-008	0	0	0	0	0	
0	0	0	0	-2.55048e-009	-5.2053e-008	-3.12724e-007	-7.05637e-007	7.05637e-007	3.12724e-007	5.2053e-008	2.55048e-009	0	0	0	0	
0	0	0	-6.37039e-010	-1.68283e-008	-1.46639e-007	-5.11418e-007	-9.19562e-007	9.19562e-007	5.11418e-007	1.46639e-007	1.68283e-008	6.37039e-010	0	0	0	
0	0	-1.58017e-010	-5.15908e-009	-5.9485e-008	-2.99913e-007	-7.20944e-007	-1.19853e-006	1.19853e-006	7.20944e-007	2.99913e-007	5.9485e-008	5.15908e-009	1.58017e-010	0	0	
0	-2.26491e-011	-1.52104e-009	-2.20011e-008	-1.48625e-007	-4.98297e-007	-9.44596e-007	-1.57407e-006	1.57407e-006	9.44596e-007	4.98297e-007	1.48625e-007	2.20011e-008	1.52104e-009	2.26491e-011	0	
-3.68882e-013	-2.56391e-010	-7.62841e-009	-6.53549e-008	-2.93476e-007	-7.20816e-007	-1.214e-006	-2.06993e-006	2.06993e-006	1.214e-006	7.20816e-007	2.93476e-007	6.53549e-008	7.62841e-009	2.56391e-010	3.68882e-013	
-4.77832e-012	-1.50771e-009	-2.64084e-008	-1.51269e-007	-4.88086e-007	-9.59781e-007	-1.57401e-006	-2.70697e-006	2.70697e-006	1.57401e-006	9.59781e-007	4.88086e-007	1.51269e-007	2.64084e-008	1.50771e-009	4.77832e-012	
-3.21099e-011	-6.11232e-009	-7.06185e-008	-2.90123e-007	-7.16385e-007	-1.23435e-006	-2.06358e-006	-3.51257e-006	3.51257e-006	2.06358e-006	1.23435e-006	7.16385e-007	2.90123e-007	7.06185e-008	6.11232e-009	3.21099e-011	
-1.4875e-010	-1.91418e-008	-1.5498e-007	-4.8062e-007	-9.67588e-007	-1.58666e-006	-2.70795e-006	-4.52758e-006	4.52758e-006	2.70795e-006	1.58666e-006	9.67588e-007	4.8062e-007	1.5498e-007	1.91418e-008	1.4875e-010	
-5.32897e-010	-4.92332e-008	-2.90158e-007	-7.11413e-007	-1.25179e-006	-2.06442e-006	-3.52675e-006	-5.80709e-006	5.80709e-006	3.52675e-006	2.06442e-006	1.25179e-006	7.11413e-007	2.90158e-007	4.92332e-008	5.32897e-010	
-1.57115e-009	-1.0807e-007	-4.77006e-007	-9.71958e-007	-1.60399e-006	-2.70445e-006	-4.54986e-006	-7.41699e-006	7.41699e-006	4.54986e-006	2.70445e-006	1.60399e-006	9.71958e-007	4.77006e-007	1.0807e-007	1.57115e-009	
-3.96414e-009	-2.07964e-007	-7.06336e-007	-1.26674e-006	-2.07319e-006	-3.53055e-006	-5.82816e-006	-9.43112e-006	9.43112e-006	5.82816e-006	3.53055e-006	2.07319e-006	1.26674e-006	7.06336e-007	2.07964e-007	3.96414e-009	
-8.79393e-009	-3.58203e-007	-9.67225e-007	-1.62298e-006	-2.70497e-006	-4.56652e-006	-7.43251e-006	-1.19325e-005	1.19325e-005	7.43251e-006	4.56652e-006	2.70497e-006	1.62298e-006	9.67225e-007	3.58203e-007	8.79393e-009	
-1.75029e-008	-5.6222e-007	-1.26099e-006	-2.08568e-006	-3.53146e-006	-5.85337e-006	-9.44499e-006	-1.50182e-005	1.50182e-005	9.44499e-006	5.85337e-006	3.53146e-006	2.08568e-006	1.26099e-006	5.6222e-007	1.75029e-008	
